fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,descripcion_conducta,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane,
2010-02-07,valle,cali (ct),domingo,21:30:00,urbanizacion desepaz e21,urbana,vias publicas,articulo 205. acceso carnal violento,contundentes,conductor taxi,a pie,10,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-02-08,valle,cali (ct),lunes,03:00:00,andres sanin e7,urbana,dentro de la vivienda,articulo 205. acceso carnal violento,no reportado,a pie,a pie,48,femenino,soltero,colombia,independiente,no reportado,primaria,76001000,1.0
2010-02-08,valle,cali (ct),lunes,05:20:00,los conquistadores e11,urbana,casas de habitacion,articulo 205. acceso carnal violento,cortopunzantes,a pie,a pie,38,femenino,union libre,colombia,independiente,no reportado,superior,76001000,1.0
2010-02-08,valle,cali (ct),lunes,15:15:00,par. monaco e20,urbana,vias publicas,articulo 205. acceso carnal violento,contundentes,a pie,a pie,20,femenino,soltero,colombia,desempleado,no reportado,primaria,76001000,1.0
2010-02-09,valle,cali (ct),martes,20:00:00,el vergel e13,urbana,casas de habitacion,articulo 208. acceso carnal abusivo con menor de 14 anos,arma blanca,a pie,a pie,7,masculino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-02-10,valle,cali (ct),miercoles,15:00:00,aranjuez e9,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,34,femenino,casado,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-02-10,valle,cali (ct),miercoles,15:30:00,saavedra galindo e8,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,13,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-02-11,valle,cali (ct),jueves,09:00:00,guayaquil e9,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,26,femenino,soltero,no reportado,independiente,no reportado,primaria,76001000,1.0
2010-02-11,valle,cali (ct),jueves,09:00:00,los comuneros i e15,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,10,masculino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-02-11,valle,cali (ct),jueves,09:00:00,popular e4,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,12,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-02-11,valle,cali (ct),jueves,21:00:00,los lideres e21,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,46,femenino,union libre,colombia,ama de casa,no reportado,primaria,76001000,1.0
2010-02-12,valle,cali (ct),viernes,07:30:00,la fortaleza e11,urbana,dentro de la vivienda,articulo 205. acceso carnal violento,contundentes,a pie,a pie,25,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-02-13,valle,cali (ct),sabado,02:00:00,gualanday e21,urbana,casas de habitacion,articulo 207. acceso carnal o acto sexual en persona puesta en incapacidad de resistir,arma blanca,a pie,a pie,17,femenino,soltero,colombia,ama de casa,no reportado,analfabeta,76001000,1.0
2010-02-13,valle,cali (ct),sabado,20:00:00,jorge eliecer gaitan e6,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,25,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000,1.0
