fecha,departamento,municipio,delito,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2015-08-08,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,sabado,22:00:00,la campina e2,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,4,masculino,soltero,colombia,estudiante,,analfabeta,76001000
2015-08-08,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,sabado,15:30:00,nueva floresta e12,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,6,femenino,soltero,colombia,estudiante,,primaria,76001000
2015-08-09,valle,cali (ct),articulo 205. acceso carnal violento,domingo,22:00:00,los robles e13,urbana,vias publicas,contundentes,a pie,a pie,39,femenino,casado,colombia,ama de casa,,secundaria,76001000
2015-08-09,valle,cali (ct),articulo 205. acceso carnal violento,domingo,22:00:00,los robles e13,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,17,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2015-08-09,valle,cali (ct),articulo 207. acceso carnal o acto sexual en persona puesta en incapacidad de resistir,domingo,21:00:00,las granjas e10,urbana,dentro de la vivienda,escopolamina,a pie,a pie,17,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-09,valle,cali (ct),articulo 207. acceso carnal o acto sexual en persona puesta en incapacidad de resistir,domingo,20:30:00,nueva floresta e12,urbana,dentro de la vivienda,contundentes,a pie,a pie,4,femenino,soltero,colombia,desempleado,,analfabeta,76001000
2015-08-09,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,domingo,04:00:00,vallado e15,urbana,vias publicas,sin empleo de armas,a pie,a pie,13,femenino,soltero,colombia,empleado particular,,primaria,76001000
2015-08-09,valle,cali (ct),articulo 210 a. acoso sexual,domingo,17:30:00,jose m. marroquin ii e14,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,14,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-10,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,lunes,21:00:00,compartir e21,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,12,masculino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-10,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,lunes,22:00:00,el poblado i e13,urbana,vias publicas,sin empleo de armas,a pie,a pie,12,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-10,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,lunes,19:00:00,potrero grande e21,urbana,,contundentes,a pie,a pie,12,femenino,soltero,colombia,estudiante,,primaria,76001000
2015-08-10,valle,cali (ct),articulo 210 a. acoso sexual,lunes,00:00:00,san carlos e11,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,56,femenino,union libre,colombia,empleado particular,,secundaria,76001000
2015-08-11,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,martes,06:00:00,calypso e13,urbana,vias publicas,sin empleo de armas,a pie,a pie,26,femenino,soltero,colombia,independiente,,secundaria,76001000
2015-08-11,valle,cali (ct),articulo 217 a. demanda de explotacion sexual comercial de persona menor de 18 anos de edad,martes,16:20:00,el cedro e19,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,16,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-12,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,miercoles,16:00:00,potrero grande e21,urbana,vias publicas,sin empleo de armas,a pie,a pie,11,masculino,soltero,colombia,estudiante,,primaria,76001000
2015-08-12,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,miercoles,14:15:00,alfonso lopez i e7,urbana,,sin empleo de armas,a pie,a pie,6,femenino,soltero,colombia,independiente,,primaria,76001000
