fecha,departamento,municipio,dia,hora,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane
2012-01-27,valle,cali (ct),viernes,06:45:00,urbana,vias publicas,no reportado,a pie,a pie,25,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-27,valle,cali (ct),viernes,13:36:00,urbana,vias publicas,no reportado,a pie,a pie,56,masculino,casado,colombia,independiente,no reportado,superior,76001000
2012-01-27,valle,cali (ct),viernes,19:00:00,urbana,vias publicas,no reportado,a pie,a pie,49,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-01-28,valle,cali (ct),sabado,03:05:00,urbana,vias publicas,no reportado,a pie,a pie,25,masculino,union libre,no reportado,independiente,no reportado,secundaria,76001000
2012-01-28,valle,cali (ct),sabado,04:30:00,urbana,vias publicas,arma de fuego,a pie,a pie,20,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-28,valle,cali (ct),sabado,05:15:00,urbana,vias publicas,no reportado,a pie,a pie,40,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-01-28,valle,cali (ct),sabado,08:00:00,urbana,casas de habitacion,no reportado,a pie,a pie,50,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2012-01-28,valle,cali (ct),sabado,09:00:00,urbana,vias publicas,no reportado,a pie,a pie,48,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-28,valle,cali (ct),sabado,14:00:00,urbana,vias publicas,no reportado,a pie,a pie,34,femenino,casado,colombia,independiente,no reportado,secundaria,76001000
2012-01-28,valle,cali (ct),sabado,14:00:00,urbana,vias publicas,no reportado,a pie,a pie,38,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-01-28,valle,cali (ct),sabado,15:00:00,urbana,vias publicas,no reportado,a pie,a pie,24,femenino,union libre,no reportado,desempleado,no reportado,primaria,76001000
2012-01-28,valle,cali (ct),sabado,17:00:00,urbana,,contundentes,a pie,a pie,38,masculino,soltero,colombia,independiente,no reportado,tecnico,76001000
2012-01-28,valle,cali (ct),sabado,21:30:00,urbana,vias publicas,no reportado,a pie,a pie,31,femenino,casado,colombia,independiente,no reportado,secundaria,76001000
2012-01-29,valle,cali (ct),domingo,06:00:00,urbana,vias publicas,contundentes,a pie,a pie,37,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
