fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,clase_empresa,codigo_dane
2010-03-16,valle,cali (ct),martes,16:00:00,ciudad jardin e22,urbana,centro comercial,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-03-17,valle,cali (ct),miercoles,06:30:00,la flora e2,urbana,"colegios, escuelas",sin empleo de armas,a pie,a pie,"colegios, escuelas",76001000
2010-03-18,valle,cali (ct),jueves,07:30:00,san juan bosco e3,urbana,talleres,arma de fuego,a pie,a pie,talleres,76001000
2010-03-19,valle,cali (ct),viernes,12:45:00,primitivo crespo e8,urbana,empresa,sin empleo de armas,a pie,a pie,servicios,76001000
2010-03-19,valle,cali (ct),viernes,19:10:00,chipichape e2,urbana,local comercial,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-03-19,valle,cali (ct),viernes,19:20:00,cristobal colon e10,urbana,empresa,arma de fuego,a pie,a pie,instalaciones fuerza publica,76001000
2010-03-19,valle,cali (ct),viernes,20:00:00,valle del lili e17,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-03-21,valle,cali (ct),domingo,02:00:00,ciudad jardin e22,urbana,local comercial,sin empleo de armas,a pie,a pie,otra empreas comercial,76001000
2010-03-22,valle,cali (ct),lunes,07:00:00,el cortijo e20,urbana,local comercial,arma de fuego,a pie,a pie,almacenes,76001000
2010-03-23,valle,cali (ct),martes,03:12:00,san vicente e2,urbana,centro comercial,arma de fuego,a pie,a pie,almacenes,76001000
2010-03-23,valle,cali (ct),martes,04:30:00,el poblado i e13,urbana,"hoteles, residencias, y similares.",arma de fuego,a pie,a pie,hoteles y similares,76001000
2010-03-23,valle,cali (ct),martes,08:30:00,san pedro e3,urbana,oficinas,cortantes,a pie,a pie,instalaciones judiciales,76001000
2010-03-23,valle,cali (ct),martes,11:15:00,departamental e10,urbana,oficinas,sin empleo de armas,a pie,a pie,oficinas,76001000
2010-03-23,valle,cali (ct),martes,11:30:00,san fernando nuevo e19,urbana,oficinas,sin empleo de armas,a pie,a pie,servicios,76001000
2010-03-23,valle,cali (ct),martes,14:15:00,los comuneros i e15,urbana,"droguerias, farmacias",arma de fuego,a pie,a pie,droguerias y farmacias,76001000
2010-03-24,valle,cali (ct),miercoles,14:00:00,ciudadela floralia e6,urbana,bodegas y similares,arma de fuego,a pie,a pie,almacenes,76001000
2010-03-24,valle,cali (ct),miercoles,19:30:00,tequendama e19,urbana,"droguerias, farmacias",arma de fuego,a pie,a pie,servicios,76001000
2010-03-25,valle,cali (ct),jueves,01:00:00,san fernando nuevo e19,urbana,oficinas,sin empleo de armas,a pie,a pie,"bodegas, depositos",76001000
2010-03-25,valle,cali (ct),jueves,12:30:00,,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-03-25,valle,cali (ct),jueves,14:00:00,san pedro e3,urbana,oficinas,cortantes,a pie,a pie,oficinas,76001000
2010-03-25,valle,cali (ct),jueves,16:30:00,el poblado i e13,urbana,empresa,arma de fuego,a pie,a pie,almacenes,76001000
2010-03-26,valle,cali (ct),viernes,08:30:00,nueva floresta e12,urbana,"colegios, escuelas",cortantes,a pie,a pie,"colegios, escuelas",76001000
2010-03-26,valle,cali (ct),viernes,09:00:00,san fernando nuevo e19,urbana,hospitales,sin empleo de armas,a pie,a pie,"clinicas, hospitales",76001000
2010-03-26,valle,cali (ct),viernes,16:00:00,los cambulos e19,urbana,oficinas,sin empleo de armas,a pie,a pie,servicios,76001000
2010-03-26,valle,cali (ct),viernes,17:30:00,la floresta e8,urbana,local comercial,arma de fuego,a pie,a pie,almacenes,76001000
2010-03-27,valle,cali (ct),sabado,08:30:00,cgto golondrinas e1,rural,consultorios medicos,sin empleo de armas,a pie,a pie,"clinicas, hospitales",76001000
2010-03-28,valle,cali (ct),domingo,12:00:00,no reporta,urbana,"sedes sociales, clubes o similares",cortantes,a pie,a pie,"clinicas, hospitales",76001000
2010-03-28,valle,cali (ct),domingo,15:30:00,el cedro e19,urbana,local comercial,arma de fuego,conductor motocicleta,a pie,almacenes,76001000
2010-03-29,valle,cali (ct),lunes,15:00:00,ciudad talanga e21,urbana,oficinas,arma de fuego,a pie,a pie,oficinas,76001000
2010-03-29,valle,cali (ct),lunes,15:45:00,centenario e2,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-03-30,valle,cali (ct),martes,01:00:00,benjamin herrera e8,urbana,empresa,arma de fuego,a pie,a pie,construcciones,76001000
2010-03-31,valle,cali (ct),miercoles,00:00:00,el ingenio e17,urbana,panaderias,arma de fuego,a pie,a pie,otra empreas comercial,76001000
2010-03-31,valle,cali (ct),miercoles,01:53:00,la flora e2,urbana,"droguerias, farmacias",arma de fuego,a pie,a pie,droguerias y farmacias,76001000
2010-03-31,valle,cali (ct),miercoles,13:10:00,san fernando viejo e19,urbana,oficinas,sin empleo de armas,a pie,a pie,escuelas de capacitacion,76001000
2010-03-31,valle,cali (ct),miercoles,22:40:00,la flora e2,urbana,"droguerias, farmacias",arma de fuego,a pie,a pie,droguerias y farmacias,76001000
2010-04-01,valle,cali (ct),jueves,17:00:00,los guaduales e6,urbana,"colegios, escuelas",sin empleo de armas,a pie,a pie,"colegios, escuelas",76001000
2010-04-03,valle,cali (ct),sabado,03:50:00,vipasa e2,urbana,"colegios, escuelas",cortantes,a pie,a pie,entidades publicas,76001000
2010-04-03,valle,cali (ct),sabado,08:00:00,vipasa e2,urbana,local comercial,cortantes,a pie,a pie,almacenes,76001000
2010-04-03,valle,cali (ct),sabado,17:00:00,tequendama e19,urbana,oficinas,contundentes,conductor motocicleta,a pie,servicios,76001000
2010-04-04,valle,cali (ct),domingo,17:00:00,caney e17,urbana,oficinas,cortantes,a pie,a pie,consultorios juridicos,76001000
2010-04-04,valle,cali (ct),domingo,17:10:00,san fernando nuevo e19,urbana,consultorios  odontologicos,arma de fuego,conductor taxi,a pie,consultorios odontologicos,76001000
2010-04-04,valle,cali (ct),domingo,18:00:00,san fernando nuevo e19,urbana,consultorios  odontologicos,arma de fuego,a pie,a pie,consultorios odontologicos,76001000
2010-04-05,valle,cali (ct),lunes,07:00:00,santa monica residencial e2,urbana,oficinas,sin empleo de armas,a pie,a pie,servicios,76001000
