fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,codigo_dane
2015-05-22,valle,cali (ct),viernes,22:10:00,jose m. marroquin ii e14,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2015-05-22,valle,cali (ct),viernes,16:55:00,san fernando nuevo e19,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-05-23,valle,cali (ct),sabado,13:00:00,chipichape e2,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2015-05-23,valle,cali (ct),sabado,19:45:00,jorge eliecer gaitan e6,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-05-23,valle,cali (ct),sabado,20:05:00,,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-05-23,valle,cali (ct),sabado,18:55:00,chipichape e2,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-05-24,valle,cali (ct),domingo,07:30:00,industrial e8,urbana,fabricas,contundentes,a pie,a pie,76001000
2015-05-24,valle,cali (ct),domingo,21:15:00,san fernando nuevo e19,urbana,restaurantes,contundentes,a pie,a pie,76001000
2015-05-24,valle,cali (ct),domingo,03:19:00,los guayacanes e5,urbana,vias publicas,arma de fuego,conductor vehiculo,a pie,76001000
2015-05-25,valle,cali (ct),lunes,00:00:00,bosques del limonar e17,urbana,local comercial,contundentes,a pie,a pie,76001000
2015-05-25,valle,cali (ct),lunes,00:00:00,san fernando viejo e19,urbana,"hoteles, residencias, y similares.",contundentes,a pie,a pie,76001000
2015-05-25,valle,cali (ct),lunes,00:00:00,san pascual e3,urbana,local comercial,contundentes,a pie,a pie,76001000
2015-05-25,valle,cali (ct),lunes,09:00:00,caldas e18,urbana,local comercial,contundentes,a pie,a pie,76001000
2015-05-25,valle,cali (ct),lunes,09:00:00,caldas e18,urbana,oficinas,llave maestra,a pie,a pie,76001000
2015-05-25,valle,cali (ct),lunes,06:40:00,versalles e2,urbana,local comercial,arma de fuego,a pie,a pie,76001000
2015-05-26,valle,cali (ct),martes,21:00:00,el trebol e8,urbana,billares,contundentes,a pie,a pie,76001000
2015-05-26,valle,cali (ct),martes,20:30:00,san joaquin e17,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-05-26,valle,cali (ct),martes,17:10:00,san joaquin e17,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-05-27,valle,cali (ct),miercoles,10:00:00,la alborada e16,urbana,bodegas y similares,sin empleo de armas,conductor vehiculo,a pie,76001000
2015-05-27,valle,cali (ct),miercoles,18:00:00,san nicolas e3,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2015-05-27,valle,cali (ct),miercoles,20:00:00,la campina e2,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-05-27,valle,cali (ct),miercoles,19:00:00,,urbana,almacenes,contundentes,a pie,a pie,76001000
2015-05-27,valle,cali (ct),miercoles,20:50:00,chipichape e2,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
