fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesiones,escolaridad,codigo_dane
2011-05-01,valle,cali (ct),domingo,06:20:00,alfonso lopez i e7,urbana,vias publicas,arma blanca,a pie,a pie,19,masculino,soltero,colombia,desempleado,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,06:20:00,ciudad cordoba e15,urbana,vias publicas,arma de fuego,a pie,a pie,32,masculino,union libre,colombia,desempleado,no reportado,primaria,76001000
2011-05-01,valle,cali (ct),domingo,08:00:00,sucre e9,urbana,dentro de la vivienda,contundentes,a pie,a pie,36,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,10:00:00,laureano gomez e15,urbana,vias publicas,arma blanca,a pie,a pie,47,masculino,soltero,colombia,independiente,no reportado,primaria,76001000
2011-05-01,valle,cali (ct),domingo,10:30:00,el calvario e3,urbana,casas de habitacion,contundentes,a pie,a pie,23,femenino,union libre,colombia,independiente,no reportado,primaria,76001000
2011-05-01,valle,cali (ct),domingo,12:00:00,obrero e9,urbana,vias publicas,contundentes,a pie,a pie,39,femenino,casado,colombia,independiente,no reportado,superior,76001000
2011-05-01,valle,cali (ct),domingo,13:00:00,puertas del sol e14,urbana,vias publicas,contundentes,a pie,a pie,14,femenino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,13:30:00,granada e2,urbana,vias publicas,arma blanca,a pie,a pie,30,masculino,union libre,no reportado,empleado particular,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,14:00:00,manuela beltran e14,urbana,vias publicas,contundentes,a pie,a pie,15,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,14:00:00,mojica e15,urbana,vias publicas,arma blanca,a pie,a pie,22,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,16:00:00,el sena e5,urbana,vias publicas,perro,a pie,a pie,66,masculino,soltero,colombia,independiente,no reportado,primaria,76001000
