fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane
2010-01-20,valle,cali (ct),miercoles,12:00:00,,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,20,femenino,soltero,colombia,estudiante,no reportado,superior,76001000
2010-01-21,valle,cali (ct),jueves,00:00:00,prados del norte e2,urbana,casas de habitacion,cortantes,a pie,a pie,66,masculino,casado,no reportado,independiente,no reportado,superior,76001000
2010-01-21,valle,cali (ct),jueves,08:00:00,la flora e2,urbana,casas de habitacion,cortantes,a pie,a pie,26,femenino,casado,colombia,independiente,no reportado,superior,76001000
2010-01-21,valle,cali (ct),jueves,17:45:00,la flora e2,urbana,dentro de la vivienda,contundentes,a pie,a pie,42,masculino,casado,no reportado,empleado particular,no reportado,superior,76001000
2010-01-21,valle,cali (ct),jueves,18:45:00,ciudad capri e17,urbana,apartamento,arma de fuego,a pie,a pie,70,femenino,casado,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-21,valle,cali (ct),jueves,23:50:00,el dorado e10,urbana,casas de habitacion,cortantes,a pie,a pie,36,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000
2010-01-22,valle,cali (ct),viernes,03:30:00,nueva granada e19,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,40,femenino,casado,colombia,empleado particular,tecnico empresarial,tecnico,76001000
2010-01-22,valle,cali (ct),viernes,10:00:00,portales de confandi e5,urbana,casas de habitacion,cortantes,a pie,a pie,49,femenino,soltero,no reportado,independiente,no reportado,superior,76001000
2010-01-22,valle,cali (ct),viernes,12:00:00,urb. colseguros e19,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,31,masculino,soltero,no reportado,independiente,no reportado,primaria,76001000
2010-01-22,valle,cali (ct),viernes,15:00:00,valle del lili e17,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,46,masculino,separado,colombia,empleado particular,no reportado,superior,76001000
2010-01-23,valle,cali (ct),sabado,12:00:00,,urbana,dentro de la vivienda,cortantes,a pie,a pie,77,masculino,soltero,no reportado,comerciante,no reportado,primaria,76001000
2010-01-23,valle,cali (ct),sabado,12:05:00,tequendama e19,urbana,casas de habitacion,arma de fuego,a pie,a pie,37,femenino,soltero,colombia,ama de casa,no reportado,secundaria,76001000
